% (Hf),% (Ti),% (Zr),kappa_lattice
2.00000000979998,17.00000000829983,80.99999998190019,5.938301504963173
2.00000000979998,18.00000000819982,79.9999999820002,5.8848089208937395
2.00000000979998,19.00000000809981,78.9999999821002,5.833677959728168
2.00000000979998,20.000000007999798,77.99999998220022,5.784770814698832
2.00000000979998,21.00000000789979,76.99999998230024,5.737961833249161
2.00000000979998,22.00000000779978,75.99999998240024,5.693136201520274
2.00000000979998,23.000000007699768,74.99999998250026,5.650188802153336
2.00000000979998,24.00000000759976,73.99999998260026,5.609023219022767
2.00000000979998,25.000000007499747,72.99999998270027,5.569550867072534
2.00000000979998,26.000000007399738,71.99999998280029,5.531690229110578
2.00000000979998,27.00000000729973,70.99999998290029,5.49536618440859
2.00000000979998,28.00000000719972,69.9999999830003,5.460509416398327
2.00000000979998,29.000000007099707,68.99999998310031,5.427055888761334
2.00000000979998,30.0000000069997,67.99999998320033,5.394946380862898
2.00000000979998,31.000000006899686,66.99999998330034,5.364126074851079
2.00000000979998,32.00000000679968,65.99999998340033,5.334544187881227
2.00000000979998,33.00000000669967,64.99999998350035,5.3061536438783525
2.00000000979998,34.000000006599656,63.99999998360036,5.278910780048042
2.00000000979998,35.00000000649965,62.99999998370037,5.252775084018621
2.00000000979998,36.00000000639964,61.99999998380038,5.22770895806516
2.00000000979998,37.00000000629963,60.99999998390039,5.2036775073474155
2.00000000979998,38.00000000619962,59.9999999840004,5.180648349503633
2.00000000979998,39.000000006099604,58.99999998410041,5.15859144329203
2.00000000979998,40.000000005999595,57.99999998420042,5.1374789342716225
2.00000000979998,41.00000000589959,56.99999998430043,5.117285015771889
2.00000000979998,42.00000000579958,55.99999998440044,5.097985803623052
2.00000000979998,43.00000000569957,54.99999998450045,5.079559223311398
2.00000000979998,44.00000000559956,53.99999998460046,5.061984908391198
2.00000000979998,45.000000005499544,52.99999998470047,5.045244109130655
2.00000000979998,46.000000005399535,51.99999998480048,5.029319610496985
2.00000000979998,47.000000005299526,50.99999998490049,5.014195658697875
2.00000000979998,48.00000000519952,49.9999999850005,4.999857895595645
2.00000000979998,49.00000000509951,48.99999998510051,4.986293300398364
2.00000000979998,50.00000000499949,47.999999985200525,4.973490138110496
2.00000000979998,51.00000000489948,46.99999998530053,4.961437914296092
2.00000000979998,52.000000004799475,45.99999998540054,4.950127335771062
2.00000000979998,53.000000004699466,44.99999998550055,4.939550276898994
2.00000000979998,54.00000000459946,43.99999998560056,4.929699751218126
2.00000000979998,55.00000000449945,42.99999998570057,4.92056988817638
2.00000000979998,56.00000000439944,41.99999998580058,4.912155914797582
2.00000000979998,57.00000000429942,40.999999985900594,4.904454142145792
2.00000000979998,58.000000004199414,39.9999999860006,4.897461956496754
2.00000000979998,59.000000004099405,38.99999998610061,4.89117781516645
2.00000000979998,60.000000003999396,37.99999998620062,4.885601246987182
2.00000000979998,61.00000000389939,36.99999998630063,4.880732857462176
2.00000000979998,62.00000000379937,35.99999998640065,4.876574338670834
